"Anim","Sex","Loca","Leng","Head","Ear","Arm","Leg","Pes","Tail","Weight","Age"
53,2,"G",930,1037,622,908,1978,1403,4350,39000,890
53,2,"G",916,1048,628,914,1999,1382,4330,42500,920
53,2,"G",932,1066,626,920,2007,1385,4220,44000,947
53,2,"G",934,1052,634,923,2037,1379,4420,48030,989
53,2,"G",921,1045,608,922,2020,1396,4450,46000,1038
53,2,"G",928,1014,626,936,2018,1388,4400,42000,1066
53,2,"G",929,1044,627,931,2016,1395,4430,45500,1100
53,2,"G",933,1042,646,931,2035,1391,4490,42500,1143
53,2,"G",941,1056,641,939,2027,1378,4470,40000,1297
57,2,"G",NA,72,NA,NA,NA,NA,NA,NA,0
57,2,"G",NA,100,NA,52,NA,NA,NA,NA,8
57,2,"G",NA,154,NA,73,90,75,156,NA,22
57,2,"G",NA,197,68,104,146,114,240,NA,36
57,2,"G",NA,250,93,143,207,142,312,155,50
57,2,"G",NA,305,116,157,266,196,430,240,64
57,2,"G",NA,350,130,187,336,245,550,370,78
57,2,"G",NA,396,156,216,413,310,657,560,93
57,2,"G",NA,438,177,250,481,375,758,780,106
57,2,"G",NA,478,205,276,564,450,900,960,120
57,2,"G",NA,520,244,313,668,522,1050,1410,134
57,2,"G",NA,558,276,357,759,628,1270,1860,148
57,2,"G",NA,603,321,408,893,756,1490,2580,162
57,2,"G",NA,642,384,451,1010,865,1750,3580,176
57,2,"G",NA,724,454,551,1236,1035,2440,7200,204
57,2,"G",NA,743,494,585,1316,1086,2730,9640,218
57,2,"G",NA,807,546,612,1415,1149,2850,12240,232
57,2,"G",NA,826,542,636,1419,1175,3020,15450,246
57,2,"G",NA,854,534,670,1535,1215,3440,18310,260
57,2,"G",NA,898,550,695,1570,1234,3440,20870,274
57,2,"G",NA,908,538,701,1622,1259,3590,21310,288
57,2,"G",NA,882,583,720,1653,1280,3660,21720,302
57,2,"G",NA,912,613,729,1675,1277,3770,23610,316
57,2,"G",NA,883,583,740,1683,1308,3810,24830,330
57,2,"G",NA,923,601,748,1695,1325,3830,25310,344
57,2,"G",796,936,581,794,1725,1286,3750,26500,357
57,2,"G",833,969,567,804,1799,1286,3750,32500,407
57,2,"G",842,979,614,821,1823,1314,3750,32500,442
57,2,"G",847,1006,616,817,1857,1302,4000,34500,477
57,2,"G",856,1006,616,829,1871,1300,3890,38000,505
57,2,"G",883,1009,624,842,1900,1353,3910,41000,540
57,2,"G",892,1014,631,853,1941,1348,3800,43000,573
57,2,"G",898,1025,633,848,1955,1350,3950,42000,596
57,2,"G",894,1021,634,868,1963,1368,4050,41000,631
57,2,"G",896,1044,639,886,1952,1344,4150,42000,658
57,2,"G",918,1043,661,875,1965,1348,4200,42500,687
57,2,"G",911,1045,643,899,2010,1356,4140,44500,722
57,2,"G",929,1057,656,902,2010,1361,4270,48500,765
57,2,"G",931,1076,656,913,2028,1379,4220,46000,794
57,2,"G",939,1056,658,908,2011,1351,4280,46500,819
57,2,"G",942,1046,654,901,2027,1365,4350,48000,847
57,2,"G",926,1056,634,907,2020,1364,4350,42000,876
57,2,"G",948,1065,662,909,2058,1360,4410,45500,903
57,2,"G",943,1068,654,918,2025,1349,4320,48000,945
57,2,"G",947,1072,662,924,2047,1360,4520,46000,994
57,2,"G",953,1069,656,929,2068,1385,4470,45000,1023
57,2,"G",957,1093,678,932,2076,1353,4490,45000,1051
57,2,"G",950,1067,667,930,2070,1335,4440,47000,1099
57,2,"G",974,1060,643,935,2110,1371,4280,NA,1214
65,2,"G",NA,64,NA,NA,NA,NA,NA,NA,0
65,2,"G",NA,130,NA,67,75,55,112,NA,16
65,2,"G",NA,177,60,94,129,95,205,NA,30
65,2,"G",NA,234,81,122,182,136,286,NA,44
65,2,"G",NA,284,108,147,243,183,400,200,58
65,2,"G",NA,330,115,176,305,228,495,280,71
65,2,"G",NA,380,142,205,378,278,608,440,86
65,2,"G",NA,406,155,219,412,317,656,560,93
65,2,"G",NA,478,210,278,575,450,910,1010,121
65,2,"G",NA,519,245,315,664,528,1038,1290,135
65,2,"G",NA,563,260,351,770,625,1260,1740,149
65,2,"G",NA,590,289,396,884,753,1520,2320,163
65,2,"G",NA,638,332,447,990,862,1740,3250,177
65,2,"G",NA,682,413,494,1109,973,2100,4460,191
65,2,"G",NA,720,468,564,1224,1045,2430,6260,205
65,2,"G",NA,754,500,603,1335,1156,2780,8420,219
65,2,"G",NA,802,510,613,1384,1164,2810,9840,228
65,2,"G",NA,799,557,622,1443,1206,3010,12290,240
65,2,"G",NA,847,545,653,1512,1219,3080,15300,254
65,2,"G",NA,861,568,663,1536,1237,3070,18030,268
65,2,"G",NA,889,564,697,1607,1280,3450,22060,287
65,2,"G",NA,914,582,714,1648,1290,3490,23640,296
65,2,"G",NA,924,568,727,1673,1311,3560,25700,310
65,2,"G",NA,953,603,741,1701,1320,3540,26680,317
65,2,"G",NA,948,580,752,1726,1317,3620,28530,331
65,2,"G",NA,961,592,757,1744,1356,3720,28470,345
65,2,"G",NA,962,596,773,1794,1330,3740,31000,359
65,2,"G",840,969,579,778,1780,1332,3840,32000,372
65,2,"G",858,994,595,811,1830,1349,4010,33000,401
65,2,"G",868,1002,598,825,1840,1345,4140,35000,436
65,2,"G",879,1019,612,835,1885,1356,4350,36000,479
65,2,"G",887,1015,627,844,1892,1378,4220,36000,508
65,2,"G",897,1032,609,845,1890,1397,4100,37000,533
65,2,"G",914,1033,598,860,1934,1363,4260,40000,561
65,2,"G",910,1042,607,864,1962,1388,4240,42000,590
65,2,"G",921,1048,698,871,1963,1426,4260,44500,617
65,2,"G",930,1056,629,884,1983,1384,4210,49000,659
65,2,"G",922,1058,623,901,2007,1410,4280,49000,708
65,2,"G",943,1070,633,907,2031,1387,4380,47000,737
65,2,"G",943,1072,624,913,2013,1406,4410,47500,765
65,2,"G",933,1067,627,918,2031,1391,4370,48500,813
65,2,"G",949,1085,635,926,2038,1381,4360,52500,968
79,2,"K",NA,65,NA,NA,NA,NA,NA,NA,0
79,2,"K",NA,96,NA,45,40,38,68,NA,5
79,2,"K",NA,115,NA,57,68,54,118,NA,12
79,2,"K",NA,219,70,116,180,132,297,NA,40
79,2,"K",NA,266,95,142,238,171,368,180,54
79,2,"K",NA,317,122,173,294,218,494,290,68
79,2,"K",NA,366,133,202,351,272,576,400,82
79,2,"K",NA,407,149,227,431,338,714,540,96
79,2,"K",NA,455,170,256,514,396,833,720,110
79,2,"K",NA,493,207,293,613,468,980,1010,124
79,2,"K",NA,537,223,328,703,586,1144,1390,138
79,2,"K",NA,556,249,355,779,631,1260,1600,147
79,2,"K",NA,590,286,393,884,732,1430,2080,159
79,2,"K",NA,666,332,447,1003,860,1720,2800,173
79,2,"K",NA,682,381,494,1124,981,2040,3920,187
79,2,"K",NA,736,498,568,1314,1135,2600,6400,206
79,2,"K",NA,766,488,588,1380,1151,2820,7820,215
79,2,"K",NA,809,554,625,1487,1235,3160,10650,230
79,2,"K",NA,817,568,647,1526,1240,3220,11900,236
79,2,"K",NA,841,594,662,1573,1287,3390,16030,250
79,2,"K",NA,877,615,682,1644,1312,3540,18920,264
79,2,"K",NA,894,611,699,1690,1322,3580,21020,278
79,2,"K",NA,916,607,718,1699,1326,3740,23850,291
79,2,"K",NA,923,640,746,1733,1345,3810,26360,307
79,2,"K",NA,933,621,738,1783,1338,3960,29270,320
79,2,"K",NA,950,643,754,1806,1351,4030,31340,334
79,2,"K",NA,991,667,780,1839,1374,4010,33730,355
79,2,"K",875,992,639,811,1902,1394,4280,40500,399
79,2,"K",882,1027,629,820,1923,1397,4240,42000,425
79,2,"K",880,1026,635,836,1955,1379,4260,45000,452
79,2,"K",916,1038,646,844,1978,1384,4360,47500,480
79,2,"K",913,1044,629,843,1988,1386,4310,48500,509
79,2,"K",909,1054,646,858,2032,1386,4320,51000,537
79,2,"K",916,1049,643,859,2023,1402,4420,50000,579
79,2,"K",929,1058,649,874,2058,1393,4580,51000,628
79,2,"K",933,1062,658,896,2061,1397,4580,48000,656
79,2,"K",935,1075,656,892,2071,1389,4670,52000,685
79,2,"K",954,1084,670,903,2061,1398,4630,58000,732
79,2,"K",978,1098,678,921,2122,1387,4570,64000,879
81,2,"K",NA,123,NA,60,75,58,106,NA,12
81,2,"K",NA,173,55,96,133,91,187,NA,26
81,2,"K",NA,226,90,122,185,128,307,NA,40
81,2,"K",NA,285,115,153,246,180,431,220,54
81,2,"K",NA,337,135,180,320,236,517,340,68
81,2,"K",NA,383,154,212,393,279,610,460,82
81,2,"K",NA,430,185,243,461,361,754,750,96
81,2,"K",NA,480,221,272,560,436,933,1004,110
81,2,"K",NA,506,231,299,625,504,1003,1270,119
81,2,"K",NA,548,277,335,716,560,1210,1650,131
81,2,"K",NA,583,308,388,844,720,1420,2340,145
81,2,"K",NA,628,380,444,984,830,1710,3140,159
81,2,"K",NA,701,476,520,1184,995,2260,4930,178
81,2,"K",NA,711,517,547,1232,1073,2450,5960,187
81,2,"K",NA,760,567,590,1368,1156,2820,7980,201
81,2,"K",NA,772,590,612,1397,1177,3020,9180,208
81,2,"K",NA,792,614,639,1487,1235,3180,11950,222
81,2,"K",NA,827,627,659,1525,1240,3370,15460,236
81,2,"K",NA,847,635,687,1591,1245,3480,18250,250
81,2,"K",NA,866,651,699,1649,1264,3460,21610,263
81,2,"K",NA,896,668,727,1700,1281,3790,24290,279
81,2,"K",NA,938,690,723,1738,1318,3890,26730,292
81,2,"K",NA,918,679,748,1767,1305,3870,28180,306
81,2,"K",NA,937,726,763,1827,1329,4040,31310,327
81,2,"K",851,970,687,804,1847,1361,4130,36000,371
81,2,"K",851,984,683,807,1892,1358,4120,38500,397
81,2,"K",888,987,689,831,1914,1358,4080,42000,424
81,2,"K",891,994,690,843,1951,1353,4080,45500,452
81,2,"K",896,1015,706,841,1971,1356,4090,45500,481
81,2,"K",906,1027,706,849,2029,1359,4170,47000,508
81,2,"K",904,1038,711,858,2008,1377,4300,45000,550
81,2,"K",914,1033,699,883,2037,1371,4440,46500,599
81,2,"K",927,1058,721,903,2054,1378,4530,45000,627
81,2,"K",941,1080,728,904,2073,1382,4520,49500,656
81,2,"K",952,1069,729,907,2064,1378,4530,52000,704
81,2,"K",965,1062,749,925,2140,1391,4590,60000,851
87,1,"G",NA,115,NA,56,50,37,74,NA,8
87,1,"G",NA,150,NA,75,94,67,146,NA,22
87,1,"G",NA,197,66,105,153,110,215,NA,36
87,1,"G",NA,250,89,134,205,142,332,140,50
87,1,"G",NA,309,106,163,262,195,435,200,64
87,1,"G",NA,350,125,184,328,247,554,370,78
87,1,"G",NA,394,144,216,393,311,648,590,92
87,1,"G",NA,419,170,236,446,344,719,660,101
87,1,"G",NA,467,189,263,525,405,816,900,113
87,1,"G",NA,510,222,298,513,483,1020,1240,127
87,1,"G",NA,542,235,338,724,589,1220,1640,141
87,1,"G",NA,605,311,404,889,770,1560,2540,160
87,1,"G",NA,624,366,440,965,841,1650,3140,169
87,1,"G",NA,663,422,490,1088,951,2010,4380,183
87,1,"G",NA,688,442,514,1145,1010,2120,5170,190
87,1,"G",NA,724,497,563,1263,1090,2540,7120,204
87,1,"G",NA,754,505,606,1371,1174,2790,9370,218
87,1,"G",NA,806,508,627,1432,1168,2930,11420,232
87,1,"G",NA,822,535,630,1505,1211,3060,14290,245
87,1,"G",NA,872,528,692,1588,1248,3310,18100,261
87,1,"G",NA,895,560,710,1638,1291,3590,22040,274
87,1,"G",NA,900,545,732,1664,1294,3460,25480,288
87,1,"G",NA,920,573,763,1725,1318,3630,29100,309
87,1,"G",849,962,601,818,1785,1340,3920,34500,353
87,1,"G",837,981,596,837,1803,1345,3860,36000,379
87,1,"G",847,1050,610,849,1852,1355,3970,37000,406
87,1,"G",875,1023,613,870,1887,1350,4010,40000,434
87,1,"G",887,1037,606,874,1951,1370,4020,42500,463
87,1,"G",910,1052,623,895,1949,1398,4020,46000,489
87,1,"G",919,1032,617,941,2001,1396,4270,47000,533
87,1,"G",967,1061,637,972,2049,1420,4370,51000,582
87,1,"G",951,1067,640,1015,2064,1446,4600,50000,610
87,1,"G",972,1065,645,1023,2092,1448,4730,49500,644
87,1,"G",961,1103,645,1030,2083,1445,4810,50000,686
92,2,"G",NA,64,NA,NA,NA,NA,NA,NA,0
92,2,"G",NA,124,NA,63,68,55,86,NA,14
92,2,"G",NA,174,55,94,126,97,210,NA,30
92,2,"G",NA,230,69,124,177,129,297,NA,43
92,2,"G",NA,279,100,143,259,177,378,190,57
92,2,"G",NA,350,135,191,349,256,551,390,78
92,2,"G",NA,496,186,281,572,457,970,1060,121
92,2,"G",NA,524,239,309,663,531,1150,1370,134
92,2,"G",NA,572,278,363,778,657,1290,1900,150
92,2,"G",NA,618,310,398,880,756,1480,2460,163
92,2,"G",NA,644,348,439,981,841,1700,3240,175
92,2,"G",NA,682,402,484,1095,953,1970,4240,189
92,2,"G",NA,723,420,531,1175,1038,2230,6030,203
92,2,"G",NA,767,488,564,1307,1111,2550,8350,218
92,2,"G",NA,790,501,615,1383,1154,2780,10410,232
92,2,"G",NA,814,521,619,1440,1179,2910,12800,245
92,2,"G",NA,836,554,633,1454,1202,2940,14860,259
92,2,"G",NA,866,559,659,1509,1225,3230,17440,273
92,2,"G",NA,887,560,660,1552,1246,3250,20620,287
92,2,"G",NA,902,572,687,1569,1263,3280,23300,301
92,2,"G",NA,946,593,703,1626,1257,3490,23680,315
92,2,"G",NA,965,573,745,1708,1301,3590,30030,337
92,2,"G",NA,972,595,763,1724,1323,3510,31160,350
92,2,"G",NA,982,601,780,1793,1335,3680,31450,364
92,2,"G",832,972,602,798,1762,1348,4030,31500,379
92,2,"G",865,1000,610,818,1840,1369,4180,34500,407
92,2,"G",878,1025,624,848,1875,1387,4140,39000,455
92,2,"G",917,1074,636,870,1939,1390,4410,41500,610
93,2,"W",NA,72,NA,NA,NA,NA,NA,NA,0
93,2,"W",NA,112,NA,60,62,60,96,NA,11
93,2,"W",NA,169,58,94,120,92,159,NA,27
93,2,"W",NA,220,83,122,177,125,295,NA,40
93,2,"W",NA,272,101,146,234,177,401,170,54
93,2,"W",NA,344,133,189,326,239,532,330,75
93,2,"W",NA,471,193,278,559,446,930,860,118
93,2,"W",NA,501,231,306,637,532,1050,1080,131
93,2,"W",NA,541,261,352,755,661,1250,1470,147
93,2,"W",NA,565,293,395,842,722,1470,1880,160
93,2,"W",NA,610,326,437,950,833,1710,2510,172
93,2,"W",NA,642,382,488,1052,955,2000,3610,186
93,2,"W",NA,667,379,519,1136,1038,2430,4540,200
93,2,"W",NA,705,475,540,1183,1052,2670,5560,215
93,2,"W",NA,731,508,570,1282,1099,2920,7580,229
93,2,"W",NA,758,499,590,1334,1118,3070,10010,242
93,2,"W",NA,784,523,613,1400,1132,3080,13200,256
93,2,"W",NA,805,529,625,1418,1147,3120,16910,270
93,2,"W",NA,829,515,647,1474,1183,3450,20090,284
93,2,"W",NA,844,562,675,1520,1193,3480,22680,298
93,2,"W",NA,861,549,709,1547,1205,3500,23920,312
93,2,"W",NA,884,577,716,1589,1216,3560,26250,334
93,2,"W",NA,882,544,709,1627,1217,3620,28620,347
93,2,"W",NA,897,550,725,1631,1249,3810,28100,361
93,2,"W",NA,906,564,755,1637,1254,3690,27500,376
93,2,"W",NA,910,570,753,1689,1254,3820,30500,404
93,2,"W",807,920,581,764,1696,1265,3790,33500,452
93,2,"W",850,941,590,801,1746,1328,3940,43500,607
94,2,"G",NA,65,NA,NA,NA,NA,NA,NA,0
94,2,"G",NA,106,NA,58,70,45,98,NA,11
94,2,"G",NA,160,52,94,107,87,184,NA,27
94,2,"G",NA,214,74,115,172,117,277,NA,40
94,2,"G",NA,266,96,134,224,163,378,180,54
94,2,"G",NA,344,129,182,320,233,508,360,75
94,2,"G",NA,478,195,272,550,436,910,990,118
94,2,"G",NA,508,224,297,624,508,1060,1230,131
94,2,"G",NA,543,260,343,752,629,1240,1690,147
94,2,"G",NA,580,276,388,854,724,1410,2310,160
94,2,"G",NA,629,352,428,949,835,1680,3050,172
94,2,"G",NA,657,377,478,1066,941,1970,4210,186
94,2,"G",NA,698,423,516,1157,1017,2320,5730,200
94,2,"G",NA,736,481,564,1260,1083,2570,7930,215
94,2,"G",NA,767,510,598,1341,1144,2760,9980,229
94,2,"G",NA,789,512,620,1390,1164,2850,12780,242
94,2,"G",NA,819,525,627,1445,1175,3170,15320,256
94,2,"G",NA,843,545,651,1465,1199,3260,17070,270
94,2,"G",NA,857,530,660,1515,1225,3160,20650,284
94,2,"G",NA,882,565,687,1594,1231,3270,23590,298
94,2,"G",NA,869,583,711,1612,1282,3480,26440,312
94,2,"G",NA,936,588,730,1678,1252,3430,29430,334
94,2,"G",NA,928,593,749,1697,1275,3470,28560,347
94,2,"G",NA,934,572,760,1724,1312,3540,27100,361
94,2,"G",827,947,590,769,1733,1282,3830,29000,376
94,2,"G",833,952,564,786,1752,1306,3920,30500,404
94,2,"G",854,965,588,801,1791,1297,3990,33500,452
94,2,"G",888,981,607,806,1859,1323,3910,NA,526
108,2,"Ha",NA,69,NA,NA,NA,NA,NA,NA,0
108,2,"Ha",NA,140,NA,70,82,65,142,NA,16
108,2,"Ha",NA,205,66,96,139,107,287,NA,30
108,2,"Ha",NA,272,104,138,225,170,343,NA,51
108,2,"Ha",NA,407,160,214,402,317,618,520,95
108,2,"Ha",NA,441,186,237,461,375,710,640,107
108,2,"Ha",NA,472,214,260,528,425,781,770,121
108,2,"Ha",NA,508,240,285,610,515,920,1000,135
108,2,"Ha",NA,540,287,326,694,587,1130,1300,148
108,2,"Ha",NA,583,273,368,818,692,1250,1770,162
108,2,"Ha",NA,622,335,415,940,831,1520,2380,176
108,2,"Ha",NA,663,392,467,1041,928,1830,NA,191
108,2,"Ha",NA,705,468,516,1156,1045,2130,4340,205
108,2,"Ha",NA,731,508,557,1250,1126,2430,5680,218
108,2,"Ha",NA,770,554,592,1366,1187,2780,7690,232
108,2,"Ha",NA,800,580,620,1427,1225,2850,10030,246
108,2,"Ha",NA,821,591,641,1505,1235,2960,13680,260
108,2,"Ha",NA,863,608,663,1539,1266,3220,16680,274
108,2,"Ha",NA,887,624,694,1603,1285,3220,18970,288
108,2,"Ha",NA,925,637,732,1656,1310,3490,23030,310
108,2,"Ha",NA,941,644,751,1693,1359,3540,24320,328
108,2,"Ha",NA,949,646,759,1719,1342,3480,25260,337
108,2,"Ha",NA,950,648,770,1759,1323,3590,25020,351
108,2,"Ha",NA,968,669,790,1768,1359,3770,27570,365
108,2,"Ha",809,973,658,801,1761,1371,3790,29500,380
108,2,"Ha",832,1003,680,830,1852,1372,3940,33500,428
108,2,"Ha",875,1054,711,859,1983,1391,4030,40000,575
113,2,"Ha",NA,110,NA,56,64,48,98,NA,10
113,2,"Ha",NA,165,54,79,114,89,183,NA,25
113,2,"Ha",NA,238,97,124,195,138,314,NA,46
113,2,"Ha",NA,370,139,198,359,276,620,430,90
113,2,"Ha",NA,400,177,216,416,329,686,500,102
113,2,"Ha",NA,453,199,259,489,371,790,930,116
113,2,"Ha",NA,483,228,272,581,468,950,960,130
113,2,"Ha",NA,526,273,314,662,540,1120,1260,143
113,2,"Ha",NA,562,300,351,783,638,1240,1650,157
113,2,"Ha",NA,607,329,399,885,755,1470,2220,171
113,2,"Ha",NA,632,382,447,997,875,1730,3080,186
113,2,"Ha",NA,676,461,502,1142,987,2000,4940,200
113,2,"Ha",NA,707,498,540,1231,1073,2370,6120,213
113,2,"Ha",NA,740,543,567,1322,1140,2870,8490,227
